abandon,a complete giving up to natural impulses
abandonment,total desertion
ability,"sufficiency of strength , skill , resources , etc"
abode,abiding place
abode,a dwelling
abode,a habitation
abode,"place of continuance , or where one dwells"
abode,sojourn
abolition,an annulling
absence,destitution
absence,inattention to things present
absence,withdrawal
absorption,"in living organisms , the process by which the materials of growth and nutrition are absorbed and conveyed to the tissues and organs"
abstract,a state of separation from other things
abstraction,the act process of leaving out of consideration one or more properties of a complex object so as to attend to others
abundance,an overflowing fullness
abundance,"wealth : -- strictly applicable to quantity only , but sometimes used of number"
abuse,a corrupt practice or custom
abyss,infinite time
abyss,the center of an escutcheon
acceptance,state of being accepted
access,admittance
access,passage way
accidental,those fortuitous effects produced by luminous rays falling on certain objects so that some parts stand forth in abnormal brightness and other parts are cast into a deep shadow
accommodation,"the act of fitting or adapting , or the state of being fitted or adapted"
accompaniment,that which accompanies
accompaniment,the harmony of a figured bass
accompaniment,"the subordinate part , or parts , accompanying the voice or a principal instrument"
accomplishment,acquirement
accord,agreement in pitch and tone
accord,consent
account,a record of some reckoning
account,enumeration
accumulation,"the act of accumulating , the state of being accumulated , or that which is accumulated"
accuracy,precision
acknowledgment,a statement acknowledging something or someone
acknowledgment,courteous recognition
acquisition,"the purchase of one commercial enterprise by another , whether for cash , or in a trade of stock of the purchasing company for that of the purchased company"
act,a performance of part of a play
action,activity
action,an act
action,conduct
activity,nimbleness
activity,the state or quality of being active
activity,vigorous action or operation
act,one of the principal divisions of a play or dramatic work in which a certain definite part of the action is completed
actor,a theatrical performer
actor,"one who acts , or takes part in any affair"
act,the result of public deliberation
addition,increase
addition,that part of arithmetic which treats of adding numbers
address,a discourse
address,"a formal communication , either written or spoken"
adieu,commendation to the care of god at parting
adjustment,settlement of claims
admiration,an emotion excited by a person or thing possessed of wonderful or high excellence
admiration,"something to excite wonder , or pleased surprise"
admission,acknowledgment
admission,power or permission to enter
admission,the act or practice of admitting
adoration,the act of playing honor to a divine being
advance,progress
advantage,benefit
advantage,mastery
advantage,superiority
advent,any important arrival
advent,approach
adventure,a stirring incident
adventure,chance of danger or loss
adventure,that which happens without design
adversary,an antagonist
adversary,an opponent
advocate,a counselor
affair,matter
affair,that which is done or is to be done
affectation,an attempt to assume or exhibit what is not natural or real
affection,a feeling or natural impulse or natural impulse acting upon and swaying the mind
affinity,relation
agency,business of one intrusted with the concerns of another
agency,the faculty of acting or of exerting power
agent,"one who exerts power , or has the power to act"
agitation,commotion
agitation,disturbance of mind which shows itself by physical excitement
agitation,disturbance of tranquillity
agitation,"excitement of public feeling by discussion , appeals , etc"
aid,an assistant
aid,relief
aim,design
alarm,any sound or information intended to give notice of approaching danger
alarm,a warning of danger
alarm,sudden surprise with fear or terror excited by apprehension of danger
alcohol,pure spirit of wine
alert,a bugle sound to give warning
alliance,"a union or connection of interests between families , states , parties , etc"
alliance,the persons or parties allied
allowance,a limited quantity of meat and drink when provisions fall short
allowance,"a stated quantity , as of food or drink"
ally,one united to another by treaty or league
altar,"in the christian church , a construction of stone , wood , or other material for the celebration of the holy eucharist"
altar,the communion table
alternative,"an offer of two things , one of which may be chosen , but not both"
alternative,the course of action or the thing offered in place of another
amateur,"one who cultivates any study or art , from taste or attachment , without pursuing it professionally"
amber,"the balsam , liquidambar"
ambition,"an eager , and sometimes an inordinate , desire for preferment , honor , superiority , power , or the attainment of something"
amendment,correction of an error in a writ or process
amendment,in public bodies
amount,the sum
analogy,proportion
analysis,"an examination of the component parts of a subject , each separately , as the words which compose a sentence , the tones of a tune , or the simple propositions which enter into an argument"
analysis,"the tracing of things to their source , and the resolving of knowledge into its original principles"
anarchy,political confusion
ancient,a person of influence
anecdote,a particular or detached incident or fact of an interesting nature
angel,demon
angel,one of a class of “ fallen angels
