abandon,freedom from artificial constraint
abandonment,"the relinquishment of a right , claim , or privilege , as to mill site , etc"
abbey,the monastic building or buildings
ability,the quality or state of being able
abode,a dwelling
abolition,an annulling
absence,a state of being absent or withdrawn from a place or from companionship
absolute,"in a plane , the two imaginary circular points at infinity"
absorption,"the act or process of absorbing or sucking in anything , or of being absorbed and made to disappear"
abstract,a brief
abstraction,analysis
absurdity,"the quality of being absurd or inconsistent with obvious truth , reason , or sound judgment"
abundance,copious supply
abuse,misuse
abyss,the center of an escutcheon
accent,"a mark or character used in writing , and serving to regulate the pronunciation"
acceptance,"a receiving what is offered , with approbation , satisfaction , or acquiescence"
access,admittance
accession,a coming to
accidental,a property which is not essential
accommodation,"whatever supplies a want or affords ease , refreshment , or convenience"
accompaniment,"the subordinate part , or parts , accompanying the voice or a principal instrument"
accomplishment,"that which constitutes excellence of mind , or elegance of manners , acquired by education or training"
accord,"agreement or concurrence of opinion , will , or action"
accordance,agreement
account,a reckoning
accumulation,"the act of accumulating , the state of being accumulated , or that which is accumulated"
accuracy,precision
accusation,that of which one is accused
achievement,an escutcheon or ensign armorial
acid,a sour substance
acknowledgment,the state or quality of being recognized or acknowledged
acquaintance,a person or persons with whom one is acquainted
acquiescence,tacit concurrence in the action of another
acquisition,a gain
action,conduct
activity,active force
actor,"one who acts , or takes part in any affair"
actress,a woman who acts a part
act,the result of public deliberation
addition,augmentation
address,verbal application
adieu,a farewell
adjective,a dependent
adjustment,"the operation of bringing all the parts of an instrument , as a microscope or telescope , into their proper relative position for use"
administration,direction
admiral,a naval officer of the highest rank
admiration,"something to excite wonder , or pleased surprise"
admirer,one who admires
admission,concession
adoption,reception
adoration,the act of addressing as a god
adult,"a person , animal , or plant grown to full size and strength"
advance,"improvement or progression , physically , mentally , morally , or socially"
advancement,promotion to a higher place or dignity
advantage,mastery
advent,approach
adventure,a daring feat
adventurer,one who adventures
adversary,one who is turned against another or others with a design to oppose or resist them
advertisement,"a public notice , especially a paid notice in some public print"
advice,intelligence
advocate,one who pleads the cause of another
affair,concern
affectation,false display
affection,an attribute
affect,the emotional complex associated with an idea or mental state
affinity,resemblance
affirmative,that which affirms as opposed to that which denies
affliction,a pain or grief
afternoon,"the part of the day which follows noon , between noon and evening"
agency,action
