abandon,careless freedom or ease
abbey,the monastic building or buildings
ability,the quality or state of being able
abode,"place of continuance , or where one dwells"
abode,residence
absorption,an imbibing or reception by molecular or chemical action
abstract,a state of separation from other things
absurdity,an absurd action
abundance,copious supply
abundance,profusion
abundance,"wealth : -- strictly applicable to quantity only , but sometimes used of number"
abyss,infinite time
accent,a mark to indicate the quality of sound of the vowel marked
accent,peculiar or characteristic modification of the voice
acceptance,approval
access,admittance
accidental,"a sharp , flat , or natural , occurring not at the commencement of a piece of music as the signature , but before a particular note"
accommodation,anything furnished which is desired or needful
accomplishment,acquirement
accomplishment,fulfillment
accord,harmony of sounds
account,computation
accuracy,"exact conformity to truth , or to a rule or model"
accuracy,precision
achievement,a great or heroic deed
achievement,an obtaining by exertion
acid,a sour substance
acknowledgment,"recognition as regards the existence , authority , truth , or genuineness"
acquaintance,a person or persons with whom one is acquainted
acquaintance,personal knowledge gained by intercourse short of that of friendship or intimacy
action,activity
action,demeanor
action,the effect of power exerted on one body by another
actor,an advocate or proctor in civil courts or causes
act,"the decision or determination of a legislative body , council , court of justice , etc"
act,the result of public deliberation
addition,that part of arithmetic which treats of adding numbers
address,a discourse
address,a petition
address,verbal application
administration,the act of administering
administration,the conducting of any office or employment
admiral,a handsome butterfly of europe and america
admiral,"a naval officer of high rank , of which there are different grades"
admiral,the most considerable ship of a fleet
admission,power or permission to enter
admission,power to approach
admission,the act or practice of admitting
adoption,the choosing and making that to be one ' s own which originally was not so
adoration,the worship paid to god
advance,an addition to the price
advancement,furtherance
advance,rise in price or value
advance,the act of advancing or moving forward or upward
advantage,benefit
advent,the first or the expected second coming of christ
adventure,a daring feat
adventure,a stirring incident
adventure,a striking event
adventure,chance of danger or loss
adventure,hazard
adversary,a member of an opposing or hostile party
advertisement,"a public notice , especially a paid notice in some public print"
advice,counsel
affair,an action or engagement not of sufficient magnitude to be called a battle
affair,that which is done or is to be done
affection,a condition
affection,a quality or property
affection,disposition
affection,tendency
affection,the act of affecting or acting upon
affinity,close agreement
affinity,connection
affinity,relation
affinity,"that attraction which takes place , at an insensible distance , between the heterogeneous particles of bodies , and unites them to form chemical compounds"
affirmative,that which affirms as opposed to that which denies
affliction,"a state of pain , distress , or grief"
agency,action
agency,the place of business of am agent
agency,the relation between a principal and his agent
agency,the state of being in action
agent,an active power or cause
agitation,perturbation
agony,keen emotion
agony,paroxysm of joy
agriculture,farming
agriculture,"the art or science of cultivating the ground , including the harvesting of crops , and the rearing and management of live stock"
aid,relief
aim,"the point intended to be hit , or object intended to be attained or affected"
alacrity,"a cheerful readiness , willingness , or promptitude"
alacrity,sprightliness
ale,"a festival in english country places , so called from the liquor drunk"
allegiance,devotion
allegiance,"the duty of fidelity to one ' s king , government , or state"
allegiance,"the tie or obligation , implied or expressed , which a subject owes to his sovereign or government"
alley,a bordered way
alliance,the state of being allied
allowance,acknowledgment
ally,one united to another by treaty or league
alphabet,the series of letters or signs which form the elements of written language
alphabet,the simplest rudiments
altar,"in the christian church , a construction of stone , wood , or other material for the celebration of the holy eucharist"
alteration,the act of altering or making different
ambush,a disposition or arrangement of troops for attacking an enemy unexpectedly from a concealed station
amendment,reformation of life by quitting vices
amount,a totality
analogy,"an agreement or likeness between things in some circumstances or effects , when the things are otherwise entirely different"
analogy,proportion
analysis,"an examination of the component parts of a subject , each separately , as the words which compose a sentence , the tones of a tune , or the simple propositions which enter into an argument"
anarchy,confusion or disorder in general
ancestor,a progenitor
ancient,a person of influence
angel,attendant spirit
angel,genius
angle,a nook
animal,"a brute or beast , as distinguished from man"
animation,"the act of animating , or giving life or spirit"
animation,vivacity
anniversary,"the annual return of the day on which any notable event took place , or is wont to be celebrated"
announcement,proclamation
annoy,a feeling of discomfort or vexation caused by what one dislikes
annoyance,annoy
annoy,whatever causes such a feeling
answer,a defense
anticipation,foretaste
antiquity,ancient times
antiquity,former ages
