abandon,freedom from artificial constraint
abandonment,"the act of abandoning , or the state of being abandoned"
abbey,the church of a monastery
ability,the quality or state of being able
abode,abiding place
abolition,an annulling
absence,withdrawal
absolute,"in space of three dimensions , the imaginary circle at infinity"
absorption,"the act or process of absorbing or sucking in anything , or of being absorbed and made to disappear"
abstract,a brief
abstraction,the act process of leaving out of consideration one or more properties of a complex object so as to attend to others
absurdity,that which is absurd
abundance,ample sufficiency
abuse,injury
abyss,infinite time
accent,tone
acceptance,approval
accession,increase by something added
access,"the means , place , or way by which a thing may be approached"
accidental,anything happening accidentally
accommodation,"the act of fitting or adapting , or the state of being fitted or adapted"
accompaniment,that which accompanies
accomplishment,"that which constitutes excellence of mind , or elegance of manners , acquired by education or training"
accordance,conformity
accord,assent
account,"a statement in general of reasons , causes , grounds , etc"
accumulation,the concurrence of several titles to the same proof
accuracy,"freedom from mistakes , this exemption arising from carefulness"
accusation,that of which one is accused
achievement,a feat
acid,a sour substance
acknowledgment,the owning of a benefit received
acquaintance,a person or persons with whom one is acquainted
acquiescence,submission to an injury by the party injured
acquisition,an acquirement
act,"a formal solemn writing , expressing that something has been done"
action,the effect of power exerted on one body by another
activity,the state or quality of being active
actor,"one who acts , or takes part in any affair"
actress,a woman who acts a part
addition,anything added
address,a discourse
adieu,a farewell
adjective,an accessory
adjustment,"the act of adjusting , or condition of being adjusted"
administration,management
admiral,a naval officer of the highest rank
admiration,wonder mingled with approbation or delight
admirer,one who admires
admission,concession
adoption,acceptance
adoration,intense regard and love
adult,one who has reached maturity
advance,an addition to the price
advancement,progression
advantage,"superiority of state , or that which gives it"
advent,the first or the expected second coming of christ
adventure,hazard
adventurer,one who adventures
adversary,a foe
advertisement,"a public notice , especially a paid notice in some public print"
advice,"an opinion recommended or offered , as worthy to be followed"
advocate,"christ , considered as an intercessor"
affair,an action or engagement not of sufficient magnitude to be called a battle
affectation,artificial show
affection,a condition
affect,the emotional complex associated with an idea or mental state
affinity,conformity
affirmative,a word or phrase expressing affirmation or assent
affliction,a pain or grief
afternoon,"the part of the day which follows noon , between noon and evening"
age,an advanced period of life
agency,business of one intrusted with the concerns of another
agent,one intrusted with the business of another
aggregate,"a mass , assemblage , or sum of particulars"
agitation,"the act of agitating , or the state of being agitated"
agony,violent contest or striving
agreement,"mutual understanding , arrangement , or stipulation"
agriculture,husbandry
aid,an assistant
aim,intention
air,"a particular state of the atmosphere , as respects heat , cold , moisture , etc"
aisle,improperly used also for the have
alacrity,"a cheerful readiness , willingness , or promptitude"
alarm,a warning sound to arouse attention
alcohol,pure spirit of wine
ale,"an intoxicating liquor made from an infusion of malt by fermentation and the addition of a bitter , usually hops"
alert,an alarm from a real or threatened attack
alien,one excluded from certain privileges
allegiance,loyalty
alley,a narrow passage
alliance,union by relationship in qualities
allowance,"a sum granted as a reimbursement , a bounty , or as appropriate for any purpose"
allusion,indirect reference
ally,a confederate
aloof,same as alewife
alphabet,the letters of a language arranged in the customary order
altar,"in the christian church , a construction of stone , wood , or other material for the celebration of the holy eucharist"
alteration,the act of altering or making different
alternate,a proportion derived from another proportion by interchanging the means
alternative,either of two things or propositions offered to one ' s choice
amateur,"a person attached to a particular pursuit , study , or science as to music or painting"
ambassador,a minister of the highest rank sent to a foreign court to represent there his sovereign or country
amber,a clear light yellow
ambition,"an eager , and sometimes an inordinate , desire for preferment , honor , superiority , power , or the attainment of something"
ambush,a device to entrap
amendment,an alteration or change for the better
ammunition,"any stock of missiles , literal or figurative"
amount,"the effect , substance , value , significance , or result"
amusement,the state of being amused
analogy,"an agreement or likeness between things in some circumstances or effects , when the things are otherwise entirely different"
analysis,"an examination of the component parts of a subject , each separately , as the words which compose a sentence , the tones of a tune , or the simple propositions which enter into an argument"
anarchy,political confusion
ancestor,a progenitor
anchor,"a contrivance to hold the end of a bridge cable , or other similar part"
ancient,a patriarch
anecdote,a particular or detached incident or fact of an interesting nature
angel,one of a class of “ fallen angels
anger,"a strong passion or emotion of displeasure or antagonism , excited by a real or supposed injury or insult to one ' s self or others , or by the intent to do such injury"
angle,the difference of direction of two lines
anguish,"extreme pain , either of body or mind"
animal,one of the lower animals
animation,"the act of animating , or giving life or spirit"
ankle,the joint which connects the foot with the leg
anniversary,"the commemoration of some sacred event , as the dedication of a church or the consecration of a pope"
announcement,that which announces
annoy,a feeling of discomfort or vexation caused by what one dislikes
annoyance,"the act of annoying , or the state of being annoyed"
annual,a literary work published once a year
answer,"something done in return for , or in consequence of , something else"
antagonist,"one who contends with another , especially in combat"
anticipation,foretaste
antique,"in general , anything very old"
antiquity,the quality of being ancient
anxiety,eager desire
ape,a mimic
apology,an acknowledgment intended as an atonement for some improper or injurious remark or act
apostle,a paper sent up on appeals in the admiralty courts
apparatus,"any complex instrument or appliance , mechanical or chemical , for a specific action or operation"
apparel,vesture
apparition,a visible object
appeal,the mode of proceeding by which such removal is effected
appearance,a phase
appellation,title
appetite,any strong desire
applause,marked commendation
application,"the act of applying or laying on , in a literal sense"
appointment,designation of a person to hold an office or discharge a trust
appreciation,accurate perception
apprehension,arrest
apprentice,a tyro
approach,"a access , or opportunity of drawing near"
approbation,the act of approving
appropriation,"application to a special use or purpose , as of a piece of ground for a park , or of money to carry out some object"
approval,approbation
apron,a boot
arch,any part of a curved line
archbishop,a chief bishop
architect,a person skilled in the art of building
architecture,the art of building houses churches bridges and other structures for the purposes of civil life
arctic,a warm waterproof overshoe
ardor,warmth or heat of passion or affection
area,the inclosed space on which a building stands
arena,any place of public contest or exertion
argument,an abstract or summary as of the contents of a book chapter poem
aristocracy,a privileged class or patrician order
arithmetic,the art of computation by figures
arm,a branch of the military service
armor,defensive arms for the body
army,a great number
arrangement,preparatory proceeding or measure
array,order of battle
arrest,stoppage
arrival,"the attainment or reaching of any object , by effort , or in natural course"
arrogance,self - assumption
arrow,"a missile weapon of offense , slender , pointed , and usually feathered and barbed , to be shot from a bow"
article,"a term , condition , or stipulation in a contract"
artillery,cannon
artist,one who shows trained skill or rare taste in any manual art or occupation
art,the adaptation of things in the natural world to the uses of life
ascetic,"in the early church , one who devoted himself to a solitary and contemplative life , characterized by devotion , extreme self - denial , and self - mortification"
ash,sing
asking,the act of inquiring or requesting
aspect,look
asp,same as aspen
ass,"a dull , heavy , stupid fellow"
assassination,a killing by treacherous violence
assault,"an attempt or offer to beat another , accompanied by a degree of violence , but without touching his person , as by lifting the fist , or a cane , in a threatening manner , or by striking at him , and missing him"
