abandon,freedom from artificial constraint
abandonment,relinquishment
abbey,the church of a monastery
ability,"power to perform , whether physical , moral , intellectual , conventional , or legal"
abode,a habitation
abolition,an annulling
absorption,"in living organisms , the process by which the materials of growth and nutrition are absorbed and conveyed to the tissues and organs"
absorption,"the act or process of absorbing or sucking in anything , or of being absorbed and made to disappear"
abstraction,analysis
abstraction,"an idea or notion of an abstract , or theoretical nature"
abstraction,the act process of leaving out of consideration one or more properties of a complex object so as to attend to others
absurdity,a logical contradiction
abundance,ample sufficiency
abundance,copious supply
abundance,profusion
abundance,superfluity
abuse,fault
abyss,infinite time
accent,manner of speaking or pronouncing
acceptance,"a receiving what is offered , with approbation , satisfaction , or acquiescence"
acceptance,state of being accepted
accidental,a nonessential
accidental,"a sharp , flat , or natural , occurring not at the commencement of a piece of music as the signature , but before a particular note"
accidental,those fortuitous effects produced by luminous rays falling on certain objects so that some parts stand forth in abnormal brightness and other parts are cast into a deep shadow
accommodation,willingness to accommodate
accompaniment,"the subordinate part , or parts , accompanying the voice or a principal instrument"
accomplishment,"that which constitutes excellence of mind , or elegance of manners , acquired by education or training"
accord,"agreement , harmony , or just correspondence of things"
accord,"agreement or concurrence of opinion , will , or action"
accordance,agreement
accord,assent
accord,concord
account,enumeration
accuracy,exactness
accuracy,nicety
acknowledgment,admission
acknowledgment,an expression of thanks
acknowledgment,courteous recognition
acknowledgment,the act of owning or recognizing in a particular character or relationship
acknowledgment,the state or quality of being recognized or acknowledged
acquaintance,a person or persons with whom one is acquainted
acquaintance,"a state of being acquainted , or of having intimate , or more than slight or superficial , knowledge"
acquisition,the act or process of acquiring
action,agency
action,an enterprise
action,"a process or condition of acting or moving , as opposed to rest"
action,behavior
action,conduct
action,"the event or connected series of events , either real or imaginary , forming the subject of a play , poem , or other composition"
action,the unfolding of the drama of events
activity,nimbleness
act,one of the principal divisions of a play or dramatic work in which a certain definite part of the action is completed
act,"the decision or determination of a legislative body , council , court of justice , etc"
addition,augmentation
address,a discourse
adjective,"a word used with a noun , or substantive , to express a quality of the thing named , or something attributed to it , or to limit or define it , or to specify or describe a thing , as distinct from something else"
adjustment,regulation
adjustment,the condition of being thus adjusted
administration,dispensation
administration,management
administration,"the council , ministry , alone , as in great britain"
admiral,a naval officer of the highest rank
admiral,the most considerable ship of a fleet
admiration,an emotion excited by a person or thing possessed of wonderful or high excellence
adoration,fervent devotion
adoration,the act of addressing as a god
adoration,the act of playing honor to a divine being
adult,"a person , animal , or plant grown to full size and strength"
advancement,an advance of money or value
advancement,improvement
advancement,promotion to a higher place or dignity
advance,progress
advance,the act of advancing or moving forward or upward
advantage,"any condition , circumstance , opportunity , or means , particularly favorable to success , or to any desired end"
adventure,a daring feat
adventurer,one who adventures
adversary,a member of an opposing or hostile party
adversary,an opponent
adversary,one who is turned against another or others with a design to oppose or resist them
advice,"an opinion recommended or offered , as worthy to be followed"
advice,counsel
affair,matter
affectation,false display
affection,a bodily state
affection,a condition
affection,a feeling or natural impulse or natural impulse acting upon and swaying the mind
affection,the act of affecting or acting upon
affection,the state of being affected
affect,the emotional complex associated with an idea or mental state
affirmative,a word or phrase expressing affirmation or assent
affliction,"a state of pain , distress , or grief"
agent,an active power or cause
agent,"one who acts for , or in the place of , another , by authority from him"
age,that part of the duration of a being or a thing which is between its beginning and any given time
agony,paroxysm of joy
agreement,a contract
agreement,concord
agreement,"harmony of opinion , statement , action , or character"
agriculture,husbandry
agriculture,"the art or science of cultivating the ground , including the harvesting of crops , and the rearing and management of live stock"
aid,relief
aim,"the point intended to be hit , or object intended to be attained or affected"
air,the atmosphere
aisle,improperly used also for the have
alert,an alarm from a real or threatened attack
alien,a foreigner
allegiance,"the tie or obligation , implied or expressed , which a subject owes to his sovereign or government"
alliance,affinity
alliance,"a union or connection of interests between families , states , parties , etc"
alliance,union by relationship in qualities
allowance,authorization
allowance,sanction
allowance,that which is allowed
allowance,tolerance
allusion,a hint
allusion,indirect reference
ally,"anything akin to another by structure , etc"
alphabet,the letters of a language arranged in the customary order
alphabet,the series of letters or signs which form the elements of written language
amber,"the balsam , liquidambar"
ambition,"an eager , and sometimes an inordinate , desire for preferment , honor , superiority , power , or the attainment of something"
ambush,a device to entrap
ambush,a snare
amendment,in public bodies
amount,the sum total of two or more sums or quantities
amusement,the state of being amused
analogy,proportion
ancestor,an earlier type
ancestor,a progenitor
ancestor,one from whom an estate has descended
anchor,that on which we place dependence for safety
ancient,a ruler
anecdote,a biographical incident or fragment
angel,” an evil spirit
angel,one of a class of “ fallen angels
angle,a nook
animal,by giving carbonic acid to the air and taking oxygen in the process of respiration
animation,"the act of animating , or giving life or spirit"
animation,the state of being animate or alive
anniversary,"the commemoration of some sacred event , as the dedication of a church or the consecration of a pope"
announcement,proclamation
annual,"anything , especially a plant , that lasts but one year or season"
answer,a reply to a charge
antagonist,an adversary
anticipation,instinctive prevision
anticipation,intuitive preconception
antique,"but in a more limited sense , a relic or object of ancient art"
antiquity,great age
antiquity,the quality of being ancient
apology,"an admission to another of a wrong or discourtesy done him , accompanied by an expression of regret"
apology,justification
apparatus,a collection of organs all of which unite in a common function
apparatus,mechanism
apparel,garments
